domain,network,provider_type,video_provider,email
indianporncave.mobi,RealSrvNetwork,api_stream,beacon.min.js,
indianpornlist.com,UnknownNetwork,embedded_player,xnxx2.tv,
indianpornsites.net,IndianPornEmpire,embedded_player,indianpornsites.net,
indianxclips.com,UnknownNetwork,api_stream,beacon.min.js,
iporntv.net,UnknownNetwork,unknown,,
jennymovies.com,UnknownNetwork,api_stream,www.jennymovies.com,
khalifa-escorts.com,UnknownNetwork,api_stream,www.khalifa-escorts.com,
leakedviral.com,UnknownNetwork,external_cdn,leakedviral.com,
letsporn.com,UnknownNetwork,self_or_private_cdn,letsporn.com,
lobstertube.com,UnknownNetwork,api_stream,c1.ttcache.com,
m-xnxx.com,UnknownNetwork,embedded_player,xnxx-cdn.com,
megaxh.com,UnknownNetwork,external_cdn,xhpingcdn.com,
metaporn.com,UnknownNetwork,external_cdn,ttcache.com,
mydesi.ltd,UnknownNetwork,embedded_player,mydesi.ltd,
mydesi.rent,UnknownNetwork,embedded_player,mydesi.rent,
mydesi2.bond,UnknownNetwork,api_stream,beacon.min.js,
mydesixxx3.com,IndianPornEmpire,self_or_private_cdn,mydesixxx3.com,
onlydesiporn.com,UnknownNetwork,embedded_player,onlydesiporn.com,
onlyindianpornx.net,UnknownNetwork,api_stream,beacon.min.js,
originalindianporn.pro,RealSrvNetwork,api_stream,beacon.min.js,
pervindian.com,UnknownNetwork,external_cdn,ogp.me,
pornforindians.net,UnknownNetwork,api_stream,beacon.min.js,
porntrex.tv,UnknownNetwork,external_cdn,cdntrex.com,
porzo.com,UnknownNetwork,external_cdn,ttcache.com,
pussyspace.com,UnknownNetwork,external_cdn,pussyspace.com,
qorno.com,UnknownNetwork,api_stream,c1.ttcache.com,
smutindia.net,UnknownNetwork,external_cdn,smutindia.net,
sotwe.com,UnknownNetwork,unknown,,
thebestfetishsites.com,UnknownNetwork,embedded_player,thebestfetishsites.com,
theindiansex.info,UnknownNetwork,unknown,,
theindiansexstory.com,UnknownNetwork,api_stream,beacon.min.js,
thekamababa.com,IndianPornEmpire,self_or_private_cdn,thekamababa.com,
thepornguy.org,UnknownNetwork,embedded_player,thepornguy.org,
thepornlist.net,UnknownNetwork,embedded_player,thepornlist.net,
thepornmap.com,UnknownNetwork,embedded_player,pornhub.com,
thumbzilla.com,UnknownNetwork,external_cdn,ypncdn.com,
tubepleasure.com,UnknownNetwork,api_stream,tubepleasure.com,
viralkand.app,UnknownNetwork,embedded_player,viralkand.app,
viralkand.com,UnknownNetwork,external_cdn,viralkand.com,
viralkand.ink,UnknownNetwork,embedded_player,desisexxnxx.com,
viralmms.cc,UnknownNetwork,external_cdn,viralmms.cc,
viralmms.com,UnknownNetwork,external_cdn,viralmms.net,
viralmmsdesi.me,UnknownNetwork,embedded_player,desisexxnxx.com,
wvt99.top,UnknownNetwork,api_stream,schema.org,
xchudai.com,UnknownNetwork,api_stream,fonts.googleapis.com,
xhaccess.com,UnknownNetwork,external_cdn,xhpingcdn.com,
xhamster19.com,UnknownNetwork,external_cdn,xhpingcdn.com,
xhopen.com,UnknownNetwork,unknown,,
xnxx.health,XNXXNetwork,embedded_player,xnxx-cdn.com,
xnxx.place,XNXXNetwork,embedded_player,xnxx.com,
xvideos-india.com,UnknownNetwork,external_cdn,xvideos-cdn.com,
xvideos.tube,UnknownNetwork,external_cdn,xvideos-cdn.com,
xvideos79.com,UnknownNetwork,embedded_player,xvideos79.com,
xxxindianfilms.pro,RealSrvNetwork,api_stream,beacon.min.js,omervenna123@gmail.com
xxxrapid.in,UnknownNetwork,direct_cdn,aucdn.net,
xxxvideoindian2.com,IndianPornEmpire,external_cdn,xxxvideoindian2.com,
mydesi.one,LtdNetwork,external_cdn,files.ltdcdn.org,
